GAME_ID,GAME_DATE,TEAM_ABBREVIATION_x,GAME_NO_x,AVG_PTS_x,AVG_AST_x,AVG_OREB_x,AVG_DREB_x,OFF_EFF_x,DEF_EFF_x,ELO_x,TEAM_ABBREVIATION_y,GAME_NO_y,AVG_PTS_y,AVG_AST_y,AVG_OREB_y,AVG_DREB_y,OFF_EFF_y,DEF_EFF_y,ELO_y,DIS_PTS,DIS_AST,DIS_OREB,DIS_DREB,DIS_OFF_EFF,DIS_DEF_EFF,DIS_ELO,PREDICTION,WL_x,MIN_x,PTS_x,FGM_x,FGA_x,FG_PCT_x,FG3M_x,FG3A_x,FG3_PCT_x,FTM_x,FTA_x,FT_PCT_x,OREB_x,DREB_x,REB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PLUS_MINUS_x,WL_y,MIN_y,PTS_y,FGM_y,FGA_y,FG_PCT_y,FG3M_y,FG3A_y,FG3_PCT_y,FTM_y,FTA_y,FT_PCT_y,OREB_y,DREB_y,REB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PLUS_MINUS_y
0022000027,2020-12-26,SAS,2.0,131.0,28.0,8.0,40.0,120.6262,109.5764,1510.0,TOR,2.0,99.0,26.0,7.0,28.0,92.6966,105.8052,1490.0,32.0,2.0,1.0,12.0,27.929599999999994,3.7712000000000074,20.0,,1,240,119,47,100,0.47,14,34.0,0.412,11,16,0.688,14.0,39.0,53.0,36,4.0,3,16,20,5.0,0,240,114,44,96,0.458,15,41.0,0.366,11,15,0.733,10.0,36.0,46.0,32,8.0,9,11,23,-5.0
0022000028,2020-12-26,UTA,2.0,120.0,24.0,12.0,47.0,119.2843,99.4036,1510.0,MIN,2.0,111.0,25.0,12.0,36.0,113.0346,102.8513,1510.0,9.0,-1.0,0.0,11.0,6.249700000000004,-3.4476999999999975,0.0,,0,240,111,36,94,0.383,10,34.0,0.294,29,37,0.784,19.0,38.0,57.0,15,5.0,4,18,20,-5.0,1,241,116,45,101,0.446,13,29.0,0.448,13,18,0.722,12.0,28.0,40.0,21,9.0,5,9,28,5.0
0022000030,2020-12-26,SAC,2.0,124.0,27.0,18.0,36.0,112.3188,110.5072,1510.0,PHX,2.0,106.0,21.0,6.0,42.0,104.1257,100.1965,1510.0,18.0,6.0,12.0,-6.0,8.193100000000001,10.310699999999997,0.0,,1,240,106,39,86,0.453,5,23.0,0.217,23,33,0.697,15.0,41.0,56.0,20,4.0,9,18,22,3.0,0,240,103,41,98,0.418,11,44.0,0.25,10,13,0.769,10.0,30.0,40.0,25,8.0,5,11,23,-3.0
0022000031,2020-12-27,LAC,3.0,118.5,27.0,10.0,29.0,119.5762,109.4854,1519.425,DAL,3.0,108.5,18.5,4.5,28.5,108.6086,122.1221,1480.0,10.0,8.5,5.5,0.5,10.967600000000004,-12.636700000000005,39.424999999999955,,0,241,73,26,76,0.342,4,33.0,0.121,17,20,0.85,5.0,31.0,36.0,13,2.0,2,12,19,-51.0,1,241,124,43,87,0.494,14,41.0,0.341,24,27,0.889,11.0,43.0,54.0,25,10.0,2,6,14,51.0
0022000032,2020-12-27,CHA,3.0,110.5,28.0,10.5,29.0,105.8429,110.1533,1480.2877,BKN,3.0,124.0,22.5,11.0,39.0,120.2716,94.0834,1520.0,-13.5,5.5,-0.5,-10.0,-14.428700000000006,16.069900000000004,-39.712299999999914,,1,241,106,43,96,0.448,10,34.0,0.294,10,17,0.588,13.0,39.0,52.0,35,8.0,3,12,25,2.0,0,239,104,35,82,0.427,17,47.0,0.362,17,25,0.68,6.0,40.0,46.0,23,4.0,5,19,17,-2.0
0022000033,2020-12-27,WAS,3.0,113.5,28.0,6.0,35.5,102.5294,109.7561,1480.575,ORL,3.0,121.5,24.0,11.0,36.5,113.2339,105.7782,1519.425,-8.0,4.0,-5.0,-1.0,-10.70450000000001,3.9779000000000053,-38.84999999999991,,0,239,113,47,97,0.485,8,32.0,0.25,11,13,0.846,13.0,34.0,47.0,27,6.0,4,13,26,-7.0,1,240,120,37,85,0.435,9,25.0,0.36,37,38,0.974,11.0,34.0,45.0,19,6.0,3,10,14,7.0
0022000034,2020-12-27,NOP,3.0,105.5,24.0,9.5,33.5,103.8386,103.3465,1499.425,SAS,3.0,125.0,32.0,11.0,39.5,115.2074,107.3733,1519.425,-19.5,-8.0,-1.5,-6.0,-11.368800000000007,-4.026799999999994,-20.0,,1,239,98,36,94,0.383,5,24.0,0.208,21,29,0.724,13.0,43.0,56.0,15,11.0,4,8,16,3.0,0,239,95,38,89,0.427,11,36.0,0.306,8,8,1.0,4.0,43.0,47.0,26,5.0,10,15,23,-3.0
0022000035,2020-12-27,CLE,3.0,124.5,31.5,8.5,42.0,110.6667,103.5556,1519.425,PHI,3.0,111.0,21.0,11.0,36.0,110.0099,97.1259,1519.425,13.5,10.5,-2.5,6.0,0.656800000000004,6.429699999999997,0.0,,1,240,118,48,91,0.527,9,23.0,0.391,13,16,0.813,11.0,34.0,45.0,31,13.0,6,16,22,24.0,0,238,94,33,79,0.418,12,37.0,0.324,16,22,0.727,8.0,31.0,39.0,24,9.0,5,21,19,-24.0
0022000036,2020-12-27,NYK,3.0,98.0,22.0,9.0,32.5,97.8044,114.7705,1480.575,MIL,3.0,129.5,22.0,11.0,45.0,124.1611,105.9444,1500.0,-31.5,0.0,-2.0,-12.5,-26.356700000000004,8.826099999999997,-19.424999999999955,,1,239,130,46,85,0.541,16,27.0,0.593,22,27,0.815,8.0,38.0,46.0,27,5.0,4,15,23,20.0,0,241,110,41,95,0.432,7,38.0,0.184,21,29,0.724,17.0,27.0,44.0,24,7.0,5,11,21,-20.0
0022000037,2020-12-27,IND,3.0,123.0,31.0,9.5,40.0,113.7835,98.5199,1519.425,BOS,3.0,108.5,23.0,15.0,27.0,107.4257,120.7921,1500.0,14.5,8.0,-5.5,13.0,6.3577999999999975,-22.272199999999998,19.424999999999955,,1,240,108,45,88,0.511,7,26.0,0.269,11,15,0.733,8.0,29.0,37.0,23,11.0,7,16,20,1.0,0,241,107,40,79,0.506,9,23.0,0.391,18,24,0.75,6.0,34.0,40.0,21,13.0,7,18,17,-1.0
